Watershed,Hname,Hectares,Acres,Date,Type,Year,Code,Comments
HQ Restoration Plots,Restoration Plots,5.718,14.129,2013/3/14,PP,2013,0HQR,
K1A,K1A,113.89,281.428,2013/3/14,PP,2013,K01A,
K4A,K4A,53.16,131.361,2013/3/15,PP,2013,K04A,
K20A,K20A,83.13,205.418,2013/3/15,PP,2013,K20A,
AL,Brome field N of K4A,35.38,87.42,2013/3/15,PP,2013,.,
AL,Brome field S of K1A,19.54,48.29,2013/3/15,PP,2013,.,
N1A,N1A,33.83,83.596,2013/3/20,PP,2013,N01ANE,
Nature Trail,Nature Trail,60.726,150.056,2013/3/20,PP,2013,NATR,
C1SB,Texas Hog Pasture,76.36,188.69,2013/3/20,PP,2013,C1SB,
C1A,C4D,93.78,231.73,2013/3/28,PP,2013,C01A,
C3SB,SB,226.265,559.112,2013/3/28,PP,2013,C3SB,
C3A,C3A,48.728,120.41,2013/3/28,PP,2013,C03A,
White Pasture,White Pasture,124.93,308.69,2013/3/29,PP,2013,WHIT,
N1A,N1A,60.03,148.322,2013/4/3,PP,2013,N01ASW,
N1B,N1B,120.683,298.214,2013/4/3,PP,2013,N01B,
N4D,N4D,135.45,334.704,2013/4/3,PP,2013,N04D,
N2B,N2B,118.78,293.511,2013/4/3,PP,2013,N02B,
Vetch Hill - South of 2C,Vetch Hill - South of 2C,1.002,2.475,2013/4/8,PP,2013,N/A,
R1B,20D/4H,39.797,98.34,2013/4/8,PP,2013,R01B,
1D,1D,41.55,102.67,2013/4/8,PP,2013,001D,
2D,2D,48.41,119.62,2013/4/8,PP,2013,002D,
2C,2C,22.95,56.72,2013/4/8,PP,2013,002C,
SpB,4D/WB,35.74,88.31,2013/4/13,PP,2013,0SpB,
SpA,4C/10A,33.402,82.539,2013/4/13,PP,2013,0SpA,
1B,1B/WA,35.89,88.69,2013/4/13,PP,2013,001B,
4B,4B,54.5,134.67,2013/4/13,PP,2013,004B,
Belowground Plots,Belowground Plots,1.45,3.58,2013/4/25,PP,2013,LTERBG,
K1B/K4B,K1B,181.665,448.905,2013/4/29,PP,2013,K01B,
R1A,20A/3B3UA,48.66,120.241,2013/4/29,PP,2013,R01A,
FB,FB,10.631,26.27,2013/11/14,PP,2013,00FB,
FA,FA,11.089,27.401,2013/11/14,PP,2013,00FA,
WA,WA,11.62,28.72,2014/2/23,PP,2014,00WA,
WB,WB,12.33,30.46,2014/2/23,PP,2014,00WB,
HQA,HQA,12.28,30.344,2014/3/7,PP,2014,0HQA,
HQB,HQB,14.92,36.868,2014/3/7,PP,2014,0HQB,
HQC,HQC,17.483,43.201,2014/3/7,PP,2014,0HQC,
N4C,N4C,77.842,192.351,2014/3/10,PP,2014,N04C,
N1A,N1A,60.03,148.322,2014/3/10,PP,2014,N01ASW,
HQD,HQD,28.25,69.807,2014/3/10,PP,2014,0HQD,
C3B,C3B,66.59,164.547,2014/3/23,PP,2014,C03B,
C1A,C4D,93.78,231.73,2014/3/23,PP,2014,C01A,
N2A,N2A,101.215,250.107,2014/3/27,PP,2014,N02A,
K1A,K1A,113.89,281.428,2014/3/28,PP,2014,K01A,
K20A,K20A,83.13,205.418,2014/3/28,PP,2014,K20A,
N1A,N1A,33.83,83.596,2014/3/28,PP,2014,N01ANE,
AL,Brome field S of K1A,19.54,48.29,2014/3/29,PP,2014,.,
K2A,K2A,66.1,163.336,2014/3/29,PP,2014,K02A,
K1B/K4B,K1B,181.665,448.905,2014/3/29,PP,2014,K01B,
C3SA,SA,102.076,252.235,2014/4/1,PP,2014,S00A,
AL,Brome field N of K4A,35.38,87.42,2014/4/1,PP,2014,.,
C1SB,Texas Hog Pasture,76.36,188.69,2014/4/1,PP,2014,C1SB,
Nature Trail,Nature Trail,60.726,150.056,2014/4/1,PP,2014,NATR,
1D,1D,41.55,102.67,2014/4/11,PP,2014,001D,
2B,2B/10B,14.4,35.59,2014/4/11,PP,2014,002B,
R1B,20D/4H,39.797,98.34,2014/4/11,PP,2014,R01B,
N1B,N1B,120.683,298.214,2014/4/11,PP,2014,N01B,
SpA,4C/10A,33.402,82.539,2014/4/11,PP,2014,0SpA,
SpB,4D/WB,35.74,88.31,2014/4/11,PP,2014,0SpB,
4A,4A,18.84,46.56,2014/4/15,PP,2014,004A,
Belowground Plots,Belowground Plots,1.45,3.58,2014/4/15,PP,2014,LTERBG,
R1A,20A/3B3UA,48.66,120.241,2014/4/15,PP,2014,R01A,
1B,1B/WA,35.89,88.69,2014/4/18,PP,2014,001B,
2A,2A,28.3,69.94,2014/4/18,PP,2014,002A,
SuA,10C/3U3BC,22.86,56.488,2014/7/24,PP,2014,0SuA,
SuB,SuB,15.63,38.62,2014/7/24,PP,2014,0SuB,
FA,FA,11.089,27.401,2014/11/25,PP,2014,00FA,
FB,FB,10.631,26.27,2014/11/25,PP,2014,00FB,
WB,WB,12.33,30.46,2015/1/30,PP,2015,00WB,
WA,WA,11.62,28.72,2015/1/30,PP,2015,00WA,
C3SC,SC,127.02,313.873,2015/3/9,PP,2015,C3SC,
C3C,C3C,102.423,253.093,2015/3/9,PP,2015,C03C,
C1A,C4D,93.78,231.73,2015/3/9,PP,2015,C01A,
HQA,HQA,12.28,30.344,2015/3/10,PP,2015,0HQA,
HQB,HQB,14.92,36.868,2015/3/10,PP,2015,0HQB,
K1A,K1A,113.89,281.428,2015/3/12,PP,2015,K01A,
K20A,K20A,83.13,205.418,2015/3/12,PP,2015,K20A,
C1SB,Texas Hog Pasture,76.36,188.69,2015/3/12,PU,2015,C1SB,
K1B/K4B,K1B,181.665,448.905,2015/3/20,PP,2015,K01B,
N1A,N1A,60.03,148.322,2015/3/26,PP,2015,N01ASW,
N1B,N1B,120.683,298.214,2015/3/26,PP,2015,N01B,
N2B,N2B,118.78,293.511,2015/3/26,PP,2015,N02B,
N1A,N1A,33.83,83.596,2015/3/31,PP,2015,N01ANE,
N4B,N4B,56.775,140.293,2015/3/31,PP,2015,N04B,
HQC,HQC,17.483,43.201,2015/3/31,PP,2015,0HQC,
AL,Brome Field S of K1A,19.54,48.29,2015/4/14,PP,2015,.,
AL,Brome Field N of K4A,35.38,87.38,2015/4/14,PP,2015,.,
R1B,20D/4H,39.797,98.34,2015/4/14,PP,2015,R01B,
2D,2D,48.41,119.62,2015/4/14,PP,2015,002D,
1D,1D,41.55,102.67,2015/4/14,PP,2015,001D,
2C,2C,22.95,56.72,2015/4/14,PP,2015,002C,
4F,4F,16.37,40.44,2015/4/14,PP,2015,004F,
SpA,4C/10A,33.402,82.539,2015/4/14,PP,2015,0SpA,
SpB,4D/WB,35.74,88.31,2015/4/14,PP,2015,0SpB,
R1A,20A/3B3UA,48.66,120.241,2015/4/15,PP,2015,R01A,
1B,1B/WA,35.89,88.69,2015/4/15,PP,2015,001B,
FA,FA,11.089,27.401,2015/11/13,PP,2015,00FA,
FB,FB,10.631,26.27,2015/11/13,PP,2015,00FB,
WA,WA,11.62,28.72,2016/1/29,PP,2016,00WA,
WB,WB,12.33,30.46,2016/1/29,PP,2016,00WB,
White Pasture,White Pasture,124.93,308.69,2016/3/9,PP,2016,WHIT,
C3SB,SB,226.265,559.112,2016/3/11,PP,2016,C3SB,
C3A,C3A,48.728,120.41,2016/3/11,PP,2016,C03A,
C1A,C1A,93.78,231.73,2016/3/11,PP,2016,C01A,
HQA,HQA,12.28,30.344,2016/3/14,PP,2016,0HQA,
HQB,HQB,14.92,36.868,2016/3/14,PP,2016,0HQB,
HQC,HQC,17.483,43.201,2016/3/14,PP,2016,0HQC,
HQD,HQD,28.25,69.807,2016/3/17,PP,2016,0HQD,
N4A,N4A,99.196,245.118,2016/3/17,PP,2016,N04A,
N2A,N2A,101.215,250.107,2016/3/17,PP,2016,N02A,
R1A,20A/3B3UA,48.66,120.241,2016/3/28,PP,2016,R01A,
K1A,K1A,113.89,281.428,2016/4/4,PP,2016,K01A,
C1SB,Texas Hog Pasture,76.36,188.69,2016/4/4,PP,2016,C1SB,
N1A,N1A,33.83,83.596,2016/4/4,PP,2016,N01ANE,
Nature Trail,Nature Trail,60.726,150.056,2016/4/11,PP,2016,NATR,
Brome Field N of K4A,AL,35.38,87.38,2016/4/12,PP,2016,00AL,
K20A,K20A,83.13,205.418,2016/4/12,PP,2016,K20A,
N1A,N1A,60.03,148.322,2016/4/12,PP,2016,N01ASW,
K2A,K2A,66.1,163.336,2016/4/13,PP,2016,K02A,
K1B/K4B,K1B,181.665,448.905,2016/4/13,PP,2016,K01B,
N20B,N20B,84.364,208.467,2016/4/13,PP,2016,N20B,
N1B,N1B,120.683,298.214,2016/4/13,PP,2016,N01B,
2A,2A,28.3,69.94,2016/5/3,PP,2016,002A,
1B,1B/WA,35.89,88.69,2016/5/3,PP,2016,001B,
SpA,4C/10A,33.402,82.539,2016/5/3,PP,2016,0SpA,
SpB,4D/WB,35.74,88.31,2016/5/3,PP,2016,0SpB,
2B,2B/10B,14.4,35.59,2016/5/3,PP,2016,002B,
1D,1D,41.55,102.67,2016/5/3,PP,2016,001D,
R1B,20D/4H,39.797,98.34,2016/5/3,PP,2016,R01B,
SuA,10C/3U3BC,22.86,56.488,2016/7/26,PP,2016,0SuA,
SuB,SuB,15.63,38.62,2016/7/26,PP,2016,0SuB,
FA,FA,11.089,27.401,2016/11/10,PP,2016,00FA,
FB,FB,10.631,26.27,2016/11/10,PP,2016,00FB,
WA,WA,11.62,28.72,2017/2/6,PP,2017,00WA,
WB,WB,12.33,30.46,2017/2/6,PP,2017,00WB,
AL,Brome field S of K1A,19.54,48.29,2017/3/9,PP,2017,00AL,
K1A,K1A,113.89,281.428,2017/3/9,PP,2017,K01A,
C1SB,Texas Hog Pasture,76.36,188.69,2017/3/9,PP,2017,C1SB,
K4A,K4A,53.16,131.361,2017/3/9,PP,2017,K04A,
C3SA,SA,102.076,252.235,2017/3/10,PP,2017,C3SA,
C1A,C1A,93.78,231.73,2017/3/10,PP,2017,C01A,
C3B,C3B,66.59,164.547,2017/3/10,PP,2017,C03B,
HQA,HQA,12.28,30.344,2017/3/15,PP,2017,0HQA,
HQB,HQB,14.92,36.868,2017/3/15,PP,2017,0HQB,
HQC,HQC,17.483,43.201,2017/3/15,PP,2017,0HQC,
K20A,K20A,83.13,205.418,2017/3/16,PP,2017,K20A,
N1A,N1A,33.83,83.596,2017/3/16,PP,2017,N01ANE,
N1A,N1A,60.03,148.322,2017/3/20,PP,2017,N01ASW,
N2B,N2B,118.78,293.511,2017/3/20,PP,2017,N02B,
N4D,N4D,135.45,334.704,2017/3/20,PP,2017,N04D,
N1B,N1B,120.683,298.214,2017/3/20,PP,2017,N01B,
K1B/K4B,K1B,181.665,448.905,2017/4/11,PP,2017,K01B,
1D,1D,41.55,102.67,2017/4/13,PP,2017,001D,
2D,2D,48.41,119.62,2017/4/13,PP,2017,002D,
2C,2C,22.95,56.72,2017/4/13,PP,2017,002C,
Spa,4C/10A,33.402,82.539,2017/4/13,PP,2017,0SpA,
SpB,4D/WB,35.74,88.31,2017/4/13,PP,2017,0SpB,
R1A,20A/3B3UA,48.66,120.241,2017/4/13,PP,2017,R01A,
R1B,20D/4H,39.797,98.34,2017/4/13,PP,2017,R01B,
4B,4B,54.5,134.67,2017/4/13,PP,2017,004B,
20B,20B/UC/4B,23.77,58.75,2017/4/13,PP,2017,020B,
1B,1B/WA,35.89,88.69,2017/4/13,PP,2017,001B,
FA,FA,11.089,27.401,2017/11/10,PP,2017,00FA,
FB,FB,10.631,26.27,2017/11/10,PP,2017,00FB,
WA,WA,11.62,28.72,2018/2/14,PP,2018,00WA,
WB,WB,12.33,30.46,2018/2/14,PP,2018,00WB,
Nature trail,Nature trail,60.726,150.056,2018/3/1,PP,2018,NATR,
C1SB,Texas Hog Pasture,76.36,188.69,2018/3/1,PP,2018,C1SB,
HQA,HQA,12.28,30.344,2018/3/8,PP,2018,0HQA,
HQB,HQB,14.92,36.868,2018/3/8,PP,2018,0HQB,
HQC,HQC,17.483,43.201,2018/3/8,PP,2018,0HQC,
HQD,HQD,28.25,69.807,2018/3/9,PP,2018,0HQD,
N1B,N1B,120.683,298.214,2018/3/9,PP,2018,N01B,
N1A,N1A,33.83,83.596,2018/3/12,PP,2018,N01ANE,
Al,Brome field N of K4A,35.38,87.42,2018/3/12,PP,2018,0ALE,
Al,Brome field S of K1A,19.54,48.29,2018/3/12,PP,2018,0ALD,
K1A,K1A,113.89,281.428,2018/3/12,PP,2018,K01A,
N2A,N2A,101.215,250.107,2018/3/13,PP,2018,N02A,
N4C,N4C,77.842,192.351,2018/3/13,PP,2018,N04C,
SpA,4C/10A,33.402,82.539,2018/3/14,wp,2018,0SpA,wildfire from I-70. unit was planned to be burned anyway
SpB,4D/WB,35.74,88.31,2018/3/14,wp,2018,0SpB,wildfire from I-70. unit was planned to be burned anyway
2B,2B/10B,14.4,35.59,2018/3/14,wp,2018,002B,wildfire from I-70. unit was planned to be burned anyway
K1B/K4B,K1B,181.665,448.905,2018/3/21,PP,2018,K01B,
K2A,K2A,66.1,163.336,2018/3/21,PP,2018,K02A,
2A,2A,28.3,69.94,2018/3/30,PP,2018,002A,
1B,1B/WA,35.89,88.69,2018/3/30,PP,2018,001B,
R1B,20D/4H,39.797,98.34,2018/3/30,PP,2018,R01B,
White Pasture,White Pasture,41.64,102.9,2018/4/17,PP,2018,WHIT,south 1/3 of white pasture. WHITE PASSURE S
C3SC,SC,127.02,313.873,2018/4/17,PP,2018,C3SC,
C3C,C3C,102.423,253.093,2018/4/17,PP,2018,C03C,
C1A,C1A,93.78,231.73,2018/4/17,PP,2018,C01A,
White Pasture,White Pasture,83.29,205.79,2018/4/19,PP,2018,WHIT,north 2/3 of white pasture. WHITE PASSURE N
R1A,20A/3B3UA,48.66,120.241,2018/4/23,PP,2018,R01A,
1D,1D,41.55,102.67,2018/4/23,PP,2018,001D,
4A,4A,18.84,46.56,2018/4/23,PP,2018,004A,
K20a,K20A,83.13,205.418,2018/8/1,PP,2018,K20A,
SuA,10C/3U3BC,22.86,56.488,2018/8/1,PP,2018,0SuA,
SuB,SuB,15.63,38.62,2018/8/1,PP,2018,0SuB,
FA,FA,11.089,27.401,2018/11/16,PP,2018,00FA,
FB,FB,10.631,26.27,2018/11/16,PP,2018,00FB,
WA,WA,11.62,28.72,2019/2/1,PP,2019,00WA,
WB,WB,12.33,30.46,2019/2/1,PP,2019,00WB,
C3SB,SB,226.265,559.112,2019/3/18,PP,2019,C3SB,
C3A,C3A,48.728,120.41,2019/3/18,PP,2019,C03A,
C1A,C1A,93.78,231.73,2019/3/18,PP,2019,C01A,
C1SB,Texas Hog Pasture,76.36,188.69,2019/3/20,PP,2019,C1SB,
K1A,K1A,113.89,281.428,2019/3/20,PP,2019,K01A,
ALE,Brome field N of K4A,35.38,87.42,2019/3/20,PP,2019,0ALE,
ALD,Brome field S of K1,19.54,48.29,2019/3/20,PP,2019,0ALD,
N1A,N1A,34,84,2019/3/22,PP,2019,N01ANE,
N4B,N4B,56.775,140.293,2019/3/22,PP,2019,N04B,
K1B/K4B,K1B,181.665,448.905,2019/3/22,PP,2019,K01B,
HQA,HQA,12.28,30.344,2019/4/1,PP,2019,0HQA,
HQB,HQB,14.92,36.868,2019/4/1,PP,2019,0HQB,
HQC,HQC,17.483,43.201,2019/4/1,PP,2019,0HQC,
HQE,HQE,8.094,20,2019/4/1,PP,2019,0HQE,restoration areas
N1A,N1A,60.03,148.322,2019/4/2,PP,2019,N01ASW,
N2B,N2B,118.78,293.511,2019/4/2,PP,2019,N02B,
N1B,N1B,120.683,298.214,2019/4/2,PP,2019,N01B,
4F,4F,16.37,40.44,2019/4/2,PP,2019,004F,
WN2A,.,8.9,22,2019/4/5,PP,2019,WN02A,strip west of N2A
WN4A,.,5.3,13,2019/4/5,PP,2019,WN04A,Strip west of N4A
R1A,20A/3B3UA,48.66,120.241,2019/4/5,PP,2019,R01A,
1B,1B/WA,35.89,88.69,2019/4/5,PP,2019,001B,
1D,1D,41.55,102.67,2019/4/15,PP,2019,001D,
2D,2D,48.41,119.62,2019/4/15,PP,2019,002D,
R1B,20D/4H,39.797,98.34,2019/4/15,PP,2019,R01B,
SPA,4C/10A,33.402,82.539,2019/4/15,PP,2019,Sp0A,
SPB,4D/WB,35.74,88.31,2019/4/15,PP,2019,0SpB,
2C,2C,22.95,56.72,2019/4/15,PP,2019,002C,
FA,FA,11.089,27.401,2019/11/5,PP,2019,00FA,
FB,FB,10.631,26.27,2019/11/5,PP,2019,00FB,
WA,WA,11.62,28.72,2020/2/6,PP,2020,00WA,
WB,WB,12.33,30.46,2020/2/6,PP,2020,00WB,
C3SA,SA,102.076,252.235,2020/3/2,PP,2020,C3SA,
C1SB,Texas Hog Pasture,76.36,188.69,2020/3/2,PP,2020,C1SB,
N2A,N2A,101.215,250.107,2020/3/6,PP,2020,N02A,
N4A,N4A,99.196,245.118,2020/3/6,PP,2020,N04A,
R1A,20A/3B3UA,48.66,120.241,2020/3/6,PP,2020,R01A,
C1A,C1A,93.78,231.73,2020/3/13,PP,2020,C01A,
C3B,C3B,66.59,164.547,2020/3/13,PP,2020,C03B,
Hulbert Restoration,HQ Restoration Plots,5.718,14.129,2020/3/13,PP,2020,0HQR,Restored Field below Hulbert Center
HQA,HQA,12.28,30.344,2020/3/21,PP,2020,0HQA,
HQB,HQB,14.92,36.868,2020/3/21,PP,2020,0HQB,
HQC,HQC,17.483,43.201,2020/3/21,PP,2020,0HQC,
HQD,HQD,28.25,69.807,2020/3/21,PP,2020,0HQD,
WN2A,.,8.9,22,2020/3/21,PP,2020,WN02A,Strip west of N2A
WN4A,.,5.3,13,2020/3/21,PP,2020,WN04A,Strip west of N4A
K1A,K1A,113.89,281.428,2020/3/24,PP,2020,K01A,
K20A,K20A,83.13,205.418,2020/3/24,PP,2020,K20A,
Nature Trail,Nature trail,72.84,180,2020/4/4,PP,2020,NATR,
N1A ,N1A,60.03,148.322,2020/4/7,PP,2020,N01ASW,
N1A ,N1A ,33.83,83.596,2020/4/7,PP,2020,N01ANE,
N1B,N1B,120.683,298.214,2020/4/7,PP,2020,N01B,
K2A,K2A,66.1,163.336,2020/4/10,PP,2020,K02A,
K1B/K4B,K1B,181.665,448.905,2020/4/10,PP,2020,K01B,
1D,1D,41.55,102.67,2020/4/15,PP,2020,001D,
HQE,HQE,8.094,20,2020/4/15,PP,2020,0HQE,
R1B,20D/4H,39.797,98.34,2020/4/21,PP,2020,R01B,
SPB,4D/WB,35.74,88.31,2020/4/21,PP,2020,0SpB,
SPA,4C/10A,33.402,82.539,2020/4/21,PP,2020,Sp0A,
2B,2B/10B,14.4,35.59,2020/4/21,PP,2020,002B,
1B,1B/WA,35.89,88.69,2020/4/21,PP,2020,001B,
2A,2A,28.3,69.94,2020/4/21,PP,2020,002A,
Nature Trail - North Hill,Nature Trail,33.076,81.732,2020/4/21,PP,2020,NATR,Nature trail area north of K1A
SuA,10C/3U3BC,22.86,56.488,2020/8/4,PP,2020,0SuA,
SuB,SuB,15.63,38.62,2020/8/4,PP,2020,0SuB,
ALC,AL,22,54.36,2020/8/4,PP,2020,0ALC,
ALD,Brome field S of K1,19.54,48.29,2020/8/4,PP,2020,0ALD,
ALE,Brome field N of K4A,35.38,87.42,2020/8/4,PP,2020,0ALE,
R1B,20D/4H,39.797,98.34,2020/11/3,WP,2020,R01B,
20C,20C/3B3UD,4.86,12,2020/11/3,WU,2020,020C,Southeast corner
FA,FA,11.089,27.401,2020/11/4,PP,2020,00FA,
FB,FB,10.631,26.27,2020/11/4,PP,2020,00FB,
WA,WA,11.62,28.72,2021/2/26,PP,2021,00WA,
WB,WB,12.33,30.46,2021/2/26,PP,2021,00WB,
K1A,K1A,113.89,281.428,2021/3/1,PP,2021,K01A,
C1SB,Texas Hog Pasture,76.36,188.69,2021/3/1,PP,2021,C1SB,
K20A,K20A,83.13,205.418,2021/3/4,PP,2021,K20A,
C3SC,SC,127.02,313.873,2021/3/4,PP,2021,C3SC,
C1A,C1A,93.78,231.73,2021/3/5,PP,2021,C01A,
C3C,C3C,102.423,253.093,2021/3/5,PP,2021,C03C,
White Pasture,White Pasture,124.93,308.69,2021/3/5,PP,2021,WHIT,
HQA,HQA,12.28,30.344,2021/4/1,PP,2021,0HQA,
HQB,HQB,14.92,36.868,2021/4/1,PP,2021,0HQB,
HQC,HQC,17.483,43.201,2021/4/1,PP,2021,0HQC,
R1A,20A/3B3UA,48.66,120.241,2021/4/1,PP,2021,R01A,
R20A,1A,26.332,65.068,2021/4/3,WU,2021,R20A,
2A,2A,28.3,69.94,2021/4/3,WU,2021,002A,
4A,4A,18.84,46.56,2021/4/3,WU,2021,004A,
4B,4B,54.5,134.67,2021/4/3,WP,2021,004B,
1B,1B/WA,35.89,88.69,2021/4/3,WP,2021,001B,
K1B/K4B,K1B/K4B,181.26,447.9,2021/4/9,PP,2021,K01B,
N1A,N1A,60.03,148.322,2021/4/12,PP,2021,N01ASW,
N1A,N1A,33.83,83.596,2021/4/12,PP,2021,N01ANE,
K4A,K4A,53.16,131.361,2021/4/12,PP,2021,K04A,
N20B,N20B,84.364,208.467,2021/4/12,PP,2021,N20B,
N20A,N20A,82.98,205.048,2021/4/12,PP,2021,N20A,
N2B,N2B,118.78,293.511,2021/4/12,PP,2021,N02B,
N4D,N4D,135.45,334.704,2021/4/12,PP,2021,N04D,
N1B,N1B,120.683,298.214,2021/4/12,PP,2021,N01B,
SpA,4C,8.82,21.795,2021/4/22,PP,2021,0SpA,
SpB,4D/WB,35.74,88.31,2021/4/22,PP,2021,0SpB,
2C,2C,22.95,56.72,2021/4/22,PP,2021,002C,
1D,1D,41.55,102.67,2021/4/22,PP,2021,001D,
2D,2D,48.41,119.62,2021/4/22,PP,2021,002D,
R20B,1C,12.315,30.431,2021/4/30,PP,2021,R20B,
FA,FA,11.089,27.401,2021/11/8,PP,2021,00FA,
FB,FB,10.631,26.27,2021/11/9,PP,2021,00FB,
WA,WA,11.62,28.72,2022/2/19,PP,2022,00WA,
WB,WB,12.33,30.46,2022/2/19,PP,2022,00WB,
N2A,N2A,101.215,250.107,2022/3/1,PP,2022,N02A,
N4C,N4C,77.842,192.351,2022/3/1,PP,2022,N04C,
HQD,HQD,28.25,69.807,2022/3/1,PP,2022,0HQD,
N20A,N20A,82.98,205.048,2022/3/2,PP,2022,N20A,
N1A,N1A,33.83,83.596,2022/3/2,PP,2022,N01ANE,N1A Northeast
N1A,N1A,60.03,148.322,2022/3/2,PP,2022,N01ASW,N1A Southwest
Nature Trail,Nature Trail,72.84,180,2022/3/15,PP,2022,NATR,
C1A,C1A,93.78,231.73,2022/3/26,PP,2022,C01A,
C3A,C3A,48.728,120.41,2022/3/26,PP,2022,C03A,
C3SB,SB,226.265,559.112,2022/3/26,PP,2022,C3SB,
N1B,N1B,120.683,298.214,2022/3/28,PP,2022,N01B,
C1SB,Texas Hog Pasture,76.36,188.69,2022/4/4,PP,2022,C1SB,
Nature Trail - North Hill,Nature Trail,33.076,81.732,2022/4/4,PP,2022,NATR,Nature trail area north of K1A
ALD,Brome field S of K1,19.54,48.29,2022/4/4,PP,2022,0ALD,
ALE,Brome field N of K4A,35.38,87.42,2022/4/4,PP,2022,0ALE,
K1A,K1A,113.89,281.428,2022/4/11,PP,2022,K01A,
K20A,K20A,83.13,205.418,2022/4/11,PP,2022,K20A,
R1B,20D/4H,39.797,98.34,2022/4/11,PP,2022,R01B,
1D,1D,41.55,102.67,2022/4/11,PP,2022,001D,
N20B,N20B,84.364,208.467,2022/4/11,PP,2022,N20B,
K1B,K1B,105.138,259.801,2022/4/11,PP,2022,K01B,
K2A,K2A,66.1,163.336,2022/4/15,PP,2022,K02A,
HQA,HQA,12.28,30.344,2022/4/15,PP,2022,0HQA,
HQB,HQB,14.92,36.868,2022/4/15,PP,2022,0HQB,
HQC,HQC,17.483,43.201,2022/4/15,PP,2022,0HQC,
R1A,20A/3B3UA,48.66,120.241,2022/4/21,PP,2022,R01A,
4A,4A,18.84,46.56,2022/4/21,PP,2022,004A,
2A,2A,28.3,69.94,2022/4/26,PP,2022,002A,
1B,1B/WA,35.89,88.69,2022/4/26,PP,2022,001B,
SPA,4C/10A,33.402,82.539,2022/4/26,PP,2022,0SpA,
SPB,4D/WB,35.74,88.31,2022/4/26,PP,2022,0SPB,
2B,2B/10B,14.4,35.59,2022/4/26,PP,2022,002B,
SuA,10C/3U3BC,22.86,56.488,2022/8/1,PP,2022,0SuA,
SuB,SuB,15.63,38.62,2022/8/1,PP,2022,0SuB,
FA,FA,11.089,27.401,2022/11/21,PP,2022,00FA,
FB,FB,10.631,26.27,2022/11/21,PP,2022,00FB,
WA,WA,11.62,28.72,2023/2/8,PP,2023,00WA,
WB,WB,12.33,30.46,2023/2/8,PP,2023,00WB,
C1SB,Texas Hog Pasture,76.36,188.69,2023/3/1,PP,2023,C1SB,
C3SA,SA,102.076,252.235,2023/3/1,PP,2023,C3SA,
K1A,K1A,113.89,281.428,2023/3/6,PP,2023,K01A,
2D,2D,48.41,119.62,2023/3/10,PP,2023,002D,
C1A,C1A,93.78,231.73,2023/3/10,PP,2023,C01A,
C3B,C3B,66.59,164.547,2023/3/10,PP,2023,C03B,
R1B,20D/4H,39.797,98.34,2023/3/10,PP,2023,R01B,
HQA,HQA,12.28,30.344,2023/3/22,PP,2023,0HQA,
White Pasture,White Pasture,124.93,308.69,2023/3/23,PP,2023,WHIT,
N1A,N1A,33.83,83.596,2023/3/27,PP,2023,N01ANE,NEN1A
N1A,N1A,60.03,148.322,2023/3/27,PP,2023,N01ASW,SWN1A
N20A,N20A,82.98,205.048,2023/3/27,PP,2023,N20A,
N20B,N20B,84.364,208.467,2023/3/27,PP,2023,N20B,
N2B,N2B,118.78,293.511,2023/3/27,PP,2023,N02B,
N4B,N4B,56.775,140.293,2023/3/27,PP,2023,N04B,
K1B,K1B/K4B,181.26,447.9,2023/4/6,PP,2023,K01B,changed the watershed name to K1B used to be K1B/K4B
K20A,K20A,83.13,205.418,2023/4/6,PP,2023,K20A,
WN2A,.,8.9,22,2023/4/7,PP,2023,WN02A,Strip west of N2A
WN4A,.,5.3,13,2023/4/7,PP,2023,WN04A,Strip west of N4A
HQB,HQB,14.92,36.868,2023/4/10,PP,2023,0HQB,
1D,1D,41.55,102.67,2023/4/17,PP,2023,001D,
HQC,HQC,17.483,43.201,2023/4/17,PP,2023,0HQC,
HQE,HQE,8.094,20,2023/4/17,PP,2023,0HQE,
N1B,N1B,120.683,298.214,2023/4/17,PP,2023,N01B,
1B,1B/WA,35.89,88.69,2023/4/25,PP,2023,001B,
2C,2C,22.95,56.72,2023/4/25,PP,2023,002C,
4F,4F,16.37,40.44,2023/4/25,PP,2023,004F,
R1A,20A/3B3UA,48.66,120.241,2023/4/25,PP,2023,R01A,
SPA,4C/10A,33.402,82.539,2023/4/25,PP,2023,0SpA,
SPB,4D/WB,35.74,88.31,2023/4/25,PP,2023,0SPB,
ALE,Brome field N of K4A,35.38,87.42,2023/4/27,PP,2023,0ALE,
N4C,N4C,.,.,2023/9/25,PP,2023,N04C,east 1/2. new fireguard split n4c 2023
FA,FA,11.089,27.401,2023/11/7,PP,2023,00FA,
FB,FB,10.631,26.27,2023/11/7,PP,2023,00FB,
WA,WA,11.62,28.72,2024/2/6,PP,2024,00WA,
WB,WB,12.33,30.46,2024/2/6,PP,2024,00WB,
K1A,K1A,113.89,281.428,2024/3/5,PP,2024,K01A,
C1A,C1A,93.78,231.73,2024/3/6,PP,2024,C01A,
C3C,C3C,102.423,253.093,2024/3/6,PP,2024,C03C,
R1B,20D/4H,39.797,98.34,2024/3/6,PP,2024,R01B,
HQD,HQD,28.25,69.807,2024/3/12,PP,2024,0HQD,
N2A,N2A,101.215,250.107,2024/3/12,PP,2024,N02A,
