Watershed,Hname,Hectares,Acres,Date,Type,Year,Code,Comments
AL,unassigned ,1.316,3.251,1983/3/14,PP,1983,N/A,
WA,3U3BB,11.623,28.72,1983/4/18,PP,1983,033B,
R20B,1C,12.315,30.431,1983/4/18,PP,1983,001C,
2C,2C,22.95,56.72,1983/4/18,PP,1983,002C,
FA,4E,11.089,27.402,1983/4/18,PP,1983,004E,
R20A,1A,26.332,65.068,1983/4/20,PP,1983,001A,
2A,2A,27.96,69.1,1983/4/20,PP,1983,002A,
1D,1D,41.55,102.67,1983/4/20,PP,1983,001D,
1B,pre-1988 WA,23.88,59,1983/4/20,PP,1983,099A,
1B,1B,12.01,29.69,1983/4/20,PP,1983,001B,
4B,4B,54.5,134.67,1983/4/20,PP,1983,004B,
C3SB,unassigned ,1.266,3.129,1983/4/21,PP,1983,N/A,
HQB,unassigned ,3.79,9.365,1983/4/26,PP,1983,N/A,
SuA,3U3BC,11.8,29.17,1983/4/29,PP,1983,033C,
SpB,pre-1988 WB,15.374,37.989,1983/4/29,PP,1983,099B,
FB,WC,11.181,27.628,1983/4/29,PP,1983,099C,
White Pasture,White Pasture,166.82,412.22,1983/4/30,PP,1983,WHIT,
Nature Trail,unassigned ,55.97,138.305,1983/4/30,PP,1983,N/A,
C1A,CR3B-3U,3.08,7.6,1983/4/30,WU,1983,C02B,
K1A,K1A,2.54,6.276,1983/4/30,PP,1983,K01A,
C3C,C1A,1.653,4.084,1983/4/30,WU,1983,C01A,
C3B,CUA,5.164,12.762,1983/4/30,WU,1983,C20A,
C3A,CUA,8,20,1983/4/30,WU,1983,C20A,
C3SC,unassigned ,59.478,146.973,1983/4/30,PP,1983,N/A,
N2A,N2A,13.317,32.906,1984/2/3,WU,1984,N02A,
AL,unassigned ,1.09,2.693,1984/4/13,PP,1984,N/A,
4A,4A,18.84,46.56,1984/4/18,PP,1984,004A,
R1A,3B3UA,29.124,71.966,1984/4/18,PP,1984,033A,
